"player_name","team_abbreviation.x","FG.","FT.","FT.ATTEMPTS","X3.PTs","Points.x","Rebounds.x","Assists.x","Steals.x","Blocks.x","Turnovers.x","team_abbreviation.y","age","player_height","player_weight","college","country","draft_year","years_in_nba","draft_round","draft_number","City","State","Team","Points.y","Rebounds.y","Assists.y","Steals.y","Blocks.y","Turnovers.y"
"Eric Gordon","PHO",0.469,0.784,0.9,2.9,14.9,2.1,3.1,1,0.6,1.5,"LAC",34,190.5,97.52228,"Indiana","USA","2008",15,"1","7","Indianapolis","Indiana","PHO",11,2,2.5,0.3,0.5,1.4
"Mike Conley","MIN",0.476,1,0.9,2.1,10.4,2.8,5.8,0.9,0.1,0.9,"MIN",35,185.42,79.3786,"Ohio State","USA","2007",16,"1","4","Fayetteville","Arkansas","MIN",12.7,3,5.4,0.2,1.2,1.6
"Rudy Gobert","MIN",0.585,0.589,5.3,0,12.1,11.3,1.3,0.6,2.2,1.8,"MIN",31,215.9,117.026736,"None","France","2013",10,"1","27",NA,NA,"MIN",13.5,11.5,1.1,0.7,1.4,1.7
"Devin Vassell","SA",0.494,0.75,3,2.7,18.1,3.4,2.8,1,0.1,1.3,"SAS",22,195.58,90.7184,"Florida State","USA","2020",3,"1","11",NA,NA,"SA",18.3,4.3,3.8,1.2,0.6,1.2
"Kentavious Caldwell-Pope","DEN",0.442,0.949,2.2,1.6,11.2,2,2.7,1.6,0.5,1.3,"DEN",30,195.58,92.532768,"Georgia","USA","2013",10,"1","8","Thomaston","Georgia","DEN",11.1,2.8,2.3,0.4,1.3,1.1
"Austin Reaves","LAL",0.46,0.843,3.6,1.3,13.9,4.9,5.1,1.1,0.1,2.5,"LAL",25,195.58,89.357624,"Oklahoma","USA","Undrafted",0,"Undrafted","Undrafted",NA,NA,"LAL",17.2,3.4,4.1,0.3,0.7,2
"Jaylen Brown","BOS",0.446,0.713,3.9,2.4,21.4,4.8,3.4,1.1,0.5,2.4,"BOS",26,198.12,101.151016,"California","USA","2016",7,"1","3","Marietta","Georgia","BOS",26.4,6.7,3.6,1.1,0.3,2.9
"Pascal Siakam","TOR",0.491,0.727,4.9,0.9,20,6.8,5.3,0.8,0.2,2.6,"TOR",29,203.2,104.32616,"New Mexico State","Cameroon","2016",7,"1","27",NA,NA,"TOR",22.1,7.8,5.7,1,0.5,2.4
"Clint Capela","ATL",0.587,0.57,2.6,0,10.4,9.8,0.9,0.7,1.6,0.6,"ATL",29,208.28,116.119552,"None","Switzerland","2014",9,"1","25",NA,NA,"ATL",11.3,10.6,0.9,1.4,0.6,0.8
"Keldon Johnson","SA",0.465,0.701,2.9,2,16.6,6.2,4.3,0.8,0.3,1.2,"SAS",23,195.58,99.79024,"Kentucky","USA","2019",4,"1","29",NA,NA,"SA",19.2,5.1,2.8,0.2,0.8,1.8
"Keegan Murray","SAC",0.39,0.851,1.5,2.1,13.2,6.2,2,1.4,0.6,1.2,"SAC",22,203.2,102.0582,"Iowa","USA","2022",1,"1","4",NA,NA,"SAC",15.6,5.1,1.6,0.6,0.8,0.8
"Kyle Lowry","MIA",0.423,0.852,0.9,2.1,8.6,4.1,4.4,1.4,0.2,1.5,"MIA",37,182.88,88.904032,"Villanova","USA","2006",17,"1","24","Philadelphia","Pennsylvania","MIA",9.3,3.6,4.4,0.3,0.8,1.7
"Deni Avdija","WAS",0.519,0.825,1.7,1.1,12.1,5.5,3.5,0.9,0.3,1.6,"WAS",22,205.74,95.25432,"None","Israel","2020",3,"1","9",NA,NA,"WAS",9.7,6.1,2.9,0.4,0.8,1.7
"OG Anunoby","TOR",0.484,0.609,2.2,2.6,15.5,4.3,2.2,1,0.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR",18.7,5.1,2.7,1.7,0.7,1.8
"Onyeka Okongwu","ATL",0.585,0.913,2.2,0.2,8.7,6.6,1.4,0.7,0.9,0.9,"ATL",22,205.74,108.86208,"Southern California","USA","2020",3,"1","6",NA,NA,"ATL",11,8,1.2,0.8,1.5,1.2
"Jabari Smith Jr.","HOU",0.5,0.735,1.4,1.8,13.2,7.7,1.3,0.6,0.6,1.3,"HOU",20,210.82,99.79024,"Auburn","USA","2022",1,"1","3",NA,NA,"HOU",14.5,7.3,1.3,1,0.6,1.4
"Paolo Banchero","ORL",0.488,0.651,6.2,1.4,19.8,6.5,4.6,1.2,0.6,3.2,"ORL",20,208.28,113.398,"Duke","USA","2022",1,"1","1",NA,NA,"ORL",22.5,7.5,4,0.7,0.9,2.6
"John Collins","UTA",0.495,0.725,2.8,1.5,14.4,8.4,0.8,0.6,0.8,1.2,"ATL",25,205.74,102.511792,"Wake Forest","USA","2017",6,"1","19",NA,NA,"UTA",14.5,6.9,1.6,0.9,0.5,1.3
"Buddy Hield","IND",0.463,0.864,0.4,3.1,13.6,2.9,2.6,0.6,0.6,1.6,"IND",30,193.04,99.79024,"Oklahoma","Bahamas","2016",7,"1","6",NA,NA,"IND",13.8,4.3,2.7,0.3,1,1.5
