Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Saturday May 21 (2),boxscore,NYM,@,COL,L,3,11,,27-15,1,up 7.0,Goudeau,Williams,,2:58,N,25783,1.22,-,
43,Sunday May 22,boxscore,NYM,@,COL,W,2,0,,28-15,1,up 8.0,Walker,Gomber,Díaz,2:34,D,35248,1.19,+,
44,Monday May 23,boxscore,NYM,@,SFG,W,13,3,,29-15,1,up 8.0,Peterson,Cobb,,2:51,N,25690,1.18,++,
45,Tuesday May 24,boxscore,NYM,@,SFG,L-wo,12,13,,29-16,1,up 8.0,Brebbia,Díaz,,3:50,N,27683,1.19,-,
46,Wednesday May 25,boxscore,NYM,@,SFG,L,3,9,,29-17,1,up 7.0,Junis,Szapucki,,2:44,D,27432,1.18,--,
47,Friday May 27,boxscore,NYM,,PHI,W,8,6,,30-17,1,up 7.5,Carrasco,Falter,Díaz,3:41,N,30175,1.31,+,
48,Saturday May 28,boxscore,NYM,,PHI,W,8,2,,31-17,1,up 8.5,Walker,Eflin,,3:09,N,37455,1.25,++,
49,Sunday May 29,boxscore,NYM,,PHI,W-wo,5,4,10,32-17,1,up 8.5,Díaz,Knebel,,3:51,N,36513,1.19,+++,
50,Monday May 30,boxscore,NYM,,WSN,W,13,5,,33-17,1,up 9.5,Holderman,Fedde,,3:29,N,22007,1.08,++++,
51,Tuesday May 31,boxscore,NYM,,WSN,W,10,0,,34-17,1,up10.5,Williams,Corbin,,3:31,N,25263,1.07,+++++,
52,Wednesday Jun 1,boxscore,NYM,,WSN,W,5,0,,35-17,1,up10.5,Carrasco,Lee,,3:02,D,25417,1.02,++++++,
53,Thursday Jun 2,boxscore,NYM,@,LAD,L,0,2,,35-18,1,up 9.5,Gonsolin,Walker,Kimbrel,2:54,N,48018,1.08,-,
54,Friday Jun 3,boxscore,NYM,@,LAD,L,1,6,,35-19,1,up 8.5,Anderson,Bassitt,Hudson,2:55,N,52505,1.15,--,
55,Saturday Jun 4,boxscore,NYM,@,LAD,W,9,4,,36-19,1,up 8.5,Holderman,Buehler,,3:33,N,50165,1.17,+,
56,Sunday Jun 5,boxscore,NYM,@,LAD,W,5,4,10,37-19,1,up 8.5,Lugo,Kimbrel,Medina,3:59,D,48672,1.10,++,
57,Monday Jun 6,boxscore,NYM,@,SDP,W,11,5,,38-19,1,up 9.0,Carrasco,Snell,,3:43,N,34858,1.12,+++,
58,Tuesday Jun 7,boxscore,NYM,@,SDP,L,0,7,,38-20,1,up 8.0,Darvish,Walker,,2:48,N,31796,1.01,-,
59,Wednesday Jun 8,boxscore,NYM,@,SDP,L,2,13,,38-21,1,up 7.0,Manaea,Bassitt,,2:58,N,40992,1.06,--,
60,Friday Jun 10,boxscore,NYM,@,LAA,W,7,3,,39-21,1,up 6.5,Peterson,Díaz,,3:21,N,31499,1.04,+,
61,Saturday Jun 11,boxscore,NYM,@,LAA,L,6,11,,39-22,1,up 5.5,Lorenzen,Carrasco,,3:21,N,36408,1.04,-,
62,Sunday Jun 12,boxscore,NYM,@,LAA,W,4,1,,40-22,1,up 5.5,Walker,Sandoval,Díaz,3:11,D,36598,1.09,+,
63,Tuesday Jun 14,boxscore,NYM,,MIL,W,4,0,,41-22,1,up 5.0,Bassitt,Houser,,2:39,N,28495,1.16,++,
64,Wednesday Jun 15,boxscore,NYM,,MIL,L,2,10,,41-23,1,up 4.0,Burnes,Peterson,,3:11,N,25422,1.11,-,
65,Thursday Jun 16,boxscore,NYM,,MIL,W,5,4,,42-23,1,up 4.5,Smith,Suter,Díaz,3:26,N,25002,1.20,+,
66,Friday Jun 17,boxscore,NYM,,MIA,W,10,4,,43-23,1,up 5.5,Carrasco,López,,3:23,N,36111,1.09,++,
67,Saturday Jun 18,boxscore,NYM,,MIA,W,3,2,,44-23,1,up 6.5,Walker,Garrett,Díaz,2:51,D,40021,1.04,+++,
