Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 30,boxscore,NYM,@,MIA,W,5,3,,1-0,1,Tied,Scherzer,Scott,Robertson,2:42,D,31397,.97,+,
2,Friday Mar 31,boxscore,NYM,@,MIA,L,1,2,,1-1,2,0.5,Luzardo,Peterson,Puk,2:09,N,14797,1.07,-,
3,Saturday Apr 1,boxscore,NYM,@,MIA,W,6,2,,2-1,2,0.5,Megill,Nardi,,2:54,D,14695,1.01,+,
4,Sunday Apr 2,boxscore,NYM,@,MIA,W,5,1,,3-1,1,up 0.5,Senga,Rogers,,2:40,D,18322,1.08,++,
5,Monday Apr 3,boxscore,NYM,@,MIL,L,0,10,,3-2,2,0.5,Peralta,Carrasco,Wilson,2:37,D,42017,1.09,-,
6,Tuesday Apr 4,boxscore,NYM,@,MIL,L,0,9,,3-3,2,1.5,Miley,Scherzer,,2:17,N,19412,1.00,--,
7,Wednesday Apr 5,boxscore,NYM,@,MIL,L-wo,6,7,,3-4,2,2.5,Williams,Ottavino,,2:45,D,18387,.97,---,
8,Friday Apr 7,boxscore,NYM,,MIA,W,9,3,,4-4,2,2.0,Megill,Cabrera,,3:01,D,43590,1.01,+,
9,Saturday Apr 8,boxscore,NYM,,MIA,W,5,2,,5-4,2,1.0,Senga,Rogers,Robertson,2:39,D,42306,1.02,++,
10,Sunday Apr 9,boxscore,NYM,,MIA,L,2,7,,5-5,2,1.0,Scott,Carrasco,,2:52,D,33697,1.07,-,
11,Monday Apr 10,boxscore,NYM,,SDP,W,5,0,,6-5,2,1.0,Scherzer,Darvish,,2:38,N,30244,1.02,+,
12,Tuesday Apr 11,boxscore,NYM,,SDP,L,2,4,,6-6,2,2.0,Weathers,Peterson,Hader,2:51,N,30769,1.04,-,
13,Wednesday Apr 12,boxscore,NYM,,SDP,W,5,2,,7-6,2,2.0,Megill,Snell,Ottavino,2:51,D,34876,.97,+,
14,Friday Apr 14,boxscore,NYM,@,OAK,W,17,6,,8-6,2,2.0,Santana,Kaprielian,,3:29,N,11102,1.01,++,
15,Saturday Apr 15,boxscore,NYM,@,OAK,W,3,2,,9-6,2,2.0,Smith,Fujinami,Robertson,2:46,D,12967,1.04,+++,
16,Sunday Apr 16,boxscore,NYM,@,OAK,W,4,3,10,10-6,2,2.0,Yacabonis,Moll,Robertson,3:03,D,17645,1.06,++++,
17,Monday Apr 17,boxscore,NYM,@,LAD,W,8,6,,11-6,2,2.0,Peterson,Vesia,Ottavino,2:50,N,50313,1.17,+++++,
18,Tuesday Apr 18,boxscore,NYM,@,LAD,L,0,5,,11-7,2,3.0,Kershaw,Megill,,2:33,N,46884,1.18,-,
19,Wednesday Apr 19,boxscore,NYM,@,LAD,W,5,3,,12-7,2,2.0,Yacabonis,Syndergaard,Ottavino,2:51,D,43990,1.10,+,
20,Thursday Apr 20,boxscore,NYM,@,SFG,W,9,4,,13-7,2,1.5,Senga,Manaea,,2:34,N,24452,1.16,++,
21,Friday Apr 21,boxscore,NYM,@,SFG,W,7,0,,14-7,2,0.5,Lucchesi,DeSclafani,,2:15,N,27551,1.14,+++,
22,Saturday Apr 22,boxscore,NYM,@,SFG,L,4,7,,14-8,2,0.5,Webb,Peterson,,2:35,D,29912,1.16,-,
23,Sunday Apr 23,boxscore,NYM,@,SFG,L,4,5,,14-9,2,0.5,Alexander,Smith,Doval,2:37,D,27721,1.16,--,
24,Tuesday Apr 25,boxscore,NYM,,WSN,L,0,5,,14-10,2,2.0,Gray,Butto,Thompson,2:33,N,20507,1.16,---,
25,Wednesday Apr 26,boxscore,NYM,,WSN,L,1,4,,14-11,2,3.0,Gore,Senga,Finnegan,2:53,N,20191,1.19,----,
26,Thursday Apr 27,boxscore,NYM,,WSN,W,9,8,,15-11,2,2.0,Robertson,Thompson,,2:47,N,20726,1.16,+,
27,Friday Apr 28,boxscore,NYM,,ATL,L,0,4,5,15-12,2,3.0,Fried,Peterson,,1:23,N,29240,1.34,-,
28,Monday May 1 (1),boxscore,NYM,,ATL,L,8,9,,15-13,2,3.0,Strider,Reyes,Minter,2:53,D,,1.19,--,
29,Monday May 1 (2),boxscore,NYM,,ATL,W,5,3,,16-13,2,3.0,Smith,Morton,Robertson,2:32,D,27603,1.15,+,
30,Wednesday May 3 (1),boxscore,NYM,@,DET,L,5,6,,16-14,2,5.0,Alexander,Ottavino,Lange,2:04,D,11363,1.04,-,
31,Wednesday May 3 (2),boxscore,NYM,@,DET,L,1,8,,16-15,2,5.0,Lorenzen,Scherzer,,2:18,N,16734,1.05,--,
32,Thursday May 4,boxscore,NYM,@,DET,L,0,2,,16-16,2,6.0,Rodríguez,Verlander,Lange,2:06,D,18369,.93,---,
33,Friday May 5,boxscore,NYM,,COL,W,1,0,,17-16,2,5.0,Senga,Senzatela,Ottavino,2:10,N,25854,.93,+,
34,Saturday May 6,boxscore,NYM,,COL,L,2,5,,17-17,2,6.0,Gomber,Megill,Johnson,2:38,D,35692,1.04,-,
