Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
35,Sunday May 7,boxscore,NYM,,COL,L,6,13,,17-18,2,7.0,Suter,Yacabonis,,3:06,D,36501,1.00,--,
36,Tuesday May 9,boxscore,NYM,@,CIN,L,6,7,,17-19,3,8.0,Weaver,Peterson,Díaz,2:56,N,14065,.93,---,
37,Wednesday May 10,boxscore,NYM,@,CIN,W,2,1,,18-19,3,7.0,Verlander,Greene,Robertson,2:35,N,14515,.88,+,
38,Thursday May 11,boxscore,NYM,@,CIN,L,0,5,,18-20,4,7.5,Lively,Senga,Herget,2:27,D,14855,.94,-,
39,Friday May 12,boxscore,NYM,@,WSN,W,3,2,,19-20,3,6.5,Megill,Edwards,Smith,3:10,N,31904,.93,+,
40,Saturday May 13,boxscore,NYM,@,WSN,L,2,3,,19-21,3,6.5,Harvey,Leone,Finnegan,2:30,D,24336,1.00,-,
41,Sunday May 14,boxscore,NYM,@,WSN,W,8,2,,20-21,3,5.5,Scherzer,Irvin,,2:58,D,21507,.99,+,
42,Monday May 15,boxscore,NYM,@,WSN,L,3,10,,20-22,4,6.5,Corbin,Peterson,,2:34,D,15220,1.02,-,
43,Tuesday May 16,boxscore,NYM,,TBR,L,5,8,,20-23,4,6.5,Chirinos,Verlander,,2:49,N,28296,.86,--,
44,Wednesday May 17,boxscore,NYM,,TBR,W-wo,8,7,10,21-23,3,6.5,Robertson,Fairbanks,,3:11,N,29695,.85,+,
45,Thursday May 18,boxscore,NYM,,TBR,W,3,2,,22-23,3,6.0,Megill,Littell,Robertson,2:22,D,29946,.89,++,
46,Friday May 19,boxscore,NYM,,CLE,W-wo,10,9,10,23-23,3,6.0,Smith,Clase,,3:08,N,35010,.90,+++,
47,Sunday May 21 (1),boxscore,NYM,,CLE,W,5,4,,24-23,2,5.0,Robertson,Stephan,,2:30,D,39995,.99,++++,
48,Sunday May 21 (2),boxscore,NYM,,CLE,W,2,1,,25-23,2,5.0,Verlander,Bieber,Raley,2:06,N,29862,1.05,+++++,
49,Tuesday May 23,boxscore,NYM,@,CHC,L,2,7,,25-24,2,4.5,Smyly,Megill,,2:46,N,35958,1.16,-,
50,Wednesday May 24,boxscore,NYM,@,CHC,L,2,4,,25-25,2,5.5,Stroman,Senga,Leiter,2:19,N,33636,1.10,--,
51,Thursday May 25,boxscore,NYM,@,CHC,W,10,1,,26-25,2,5.5,Carrasco,Hendricks,,2:43,N,35446,1.04,+,
52,Friday May 26,boxscore,NYM,@,COL,W,5,2,,27-25,2,4.5,Scherzer,Seabold,Ottavino,2:46,N,30288,1.14,++,
53,Saturday May 27,boxscore,NYM,@,COL,L,7,10,,27-26,2,4.5,Lawrence,Brigham,Johnson,2:58,N,36874,1.20,-,
54,Sunday May 28,boxscore,NYM,@,COL,L,10,11,,27-27,3,5.5,Lambert,Nogosek,,2:57,D,47471,1.19,--,
55,Tuesday May 30,boxscore,NYM,,PHI,W,2,0,,28-27,2,4.0,Senga,Suárez,Robertson,2:20,N,36236,1.14,+,
56,Wednesday May 31,boxscore,NYM,,PHI,W,4,1,,29-27,2,4.0,Carrasco,Nola,Robertson,2:29,N,39641,1.21,++,
57,Thursday Jun 1,boxscore,NYM,,PHI,W,4,2,,30-27,2,3.5,Scherzer,Walker,Smith,2:32,D,38302,1.24,+++,
58,Friday Jun 2,boxscore,NYM,,TOR,L,0,3,,30-28,2,3.5,Bassitt,Verlander,Romano,2:36,N,42637,1.15,-,
59,Saturday Jun 3,boxscore,NYM,,TOR,L,1,2,,30-29,3,4.5,Pearson,Robertson,Swanson,2:48,D,37704,1.13,--,
60,Sunday Jun 4,boxscore,NYM,,TOR,L,4,6,,30-30,3,5.5,Pearson,Leone,Romano,2:47,D,42169,1.07,---,
61,Tuesday Jun 6,boxscore,NYM,@,ATL,L,4,6,,30-31,3,6.5,Elder,Smith,Iglesias,2:38,N,37365,1.19,----,
62,Wednesday Jun 7,boxscore,NYM,@,ATL,L,5,7,,30-32,3,7.5,Anderson,Raley,Minter,2:54,N,40178,1.05,-----,
63,Thursday Jun 8,boxscore,NYM,@,ATL,L-wo,10,13,10,30-33,4,8.5,Iglesias,Hunter,,3:33,N,39347,1.00,------,
64,Friday Jun 9,boxscore,NYM,@,PIT,L,7,14,,30-34,4,9.5,Hill,Megill,,2:42,N,29429,.84,-------,
65,Saturday Jun 10,boxscore,NYM,@,PIT,W,5,1,,31-34,4,9.5,Senga,Oviedo,,2:31,D,35290,.79,+,
66,Sunday Jun 11,boxscore,NYM,@,PIT,L,1,2,,31-35,4,9.5,Keller,Carrasco,Bednar,2:16,D,26770,.85,-,
67,Tuesday Jun 13,boxscore,NYM,,NYY,L,6,7,,31-36,4,9.5,Marinaccio,Walker,King,3:19,N,43707,.74,--,
68,Wednesday Jun 14,boxscore,NYM,,NYY,W-wo,4,3,10,32-36,4,10.0,Leone,Abreu,,3:17,N,44121,.69,+,
69,Friday Jun 16,boxscore,NYM,,STL,W,6,1,,33-36,4,10.5,Megill,Mikolas,,2:01,N,33948,.69,++,
70,Saturday Jun 17,boxscore,NYM,,STL,L,3,5,,33-37,4,11.5,Wainwright,Senga,Hicks,2:42,D,39143,.72,-,
71,Sunday Jun 18,boxscore,NYM,,STL,L,7,8,,33-38,4,12.5,VerHagen,Ottavino,Hicks,3:02,D,43110,.62,--,
72,Monday Jun 19,boxscore,NYM,@,HOU,W,11,1,,34-38,4,12.0,Scherzer,Brown,,2:38,N,33185,.53,+,
73,Tuesday Jun 20,boxscore,NYM,@,HOU,L,2,4,,34-39,4,13.0,Valdez,Verlander,Pressly,2:11,N,34606,.58,-,
74,Wednesday Jun 21,boxscore,NYM,@,HOU,L,8,10,,34-40,4,13.5,Maton,Leone,Pressly,3:32,D,38279,.51,--,
75,Friday Jun 23,boxscore,NYM,@,PHI,L,1,5,,34-41,4,14.0,Walker,Senga,,2:44,N,35093,.49,---,
76,Saturday Jun 24,boxscore,NYM,@,PHI,W,4,2,,35-41,4,14.0,Scherzer,Sánchez,Robertson,2:39,D,43586,.43,+,
77,Sunday Jun 25,boxscore,NYM,@,PHI,L,6,7,,35-42,4,15.0,Hoffman,Brigham,Kimbrel,3:16,D,42901,.47,-,
78,Monday Jun 26,boxscore,NYM,,MIL,L,1,2,,35-43,4,16.0,Rea,Smith,Williams,2:45,N,34384,.42,--,
79,Tuesday Jun 27,boxscore,NYM,,MIL,W,7,2,,36-43,4,16.0,Peterson,Teherán,,2:41,N,35295,.35,+,
80,Wednesday Jun 28,boxscore,NYM,,MIL,L,2,5,,36-44,4,17.0,Wilson,Hartwig,Williams,2:57,N,28440,.37,-,
81,Thursday Jun 29,boxscore,NYM,,MIL,L,2,3,,36-45,4,17.5,Houser,McFarland,Williams,2:54,N,30282,.30,--,
82,Friday Jun 30,boxscore,NYM,,SFG,L,4,5,,36-46,4,18.5,Manaea,Robertson,Doval,2:47,N,30116,.25,---,
83,Saturday Jul 1,boxscore,NYM,,SFG,W,4,1,,37-46,4,18.5,Verlander,DeSclafani,Ottavino,2:10,D,34887,.21,+,
84,Sunday Jul 2,boxscore,NYM,,SFG,W,8,4,,38-46,4,18.5,Hartwig,Wood,,3:17,N,28473,.25,++,
85,Tuesday Jul 4,boxscore,NYM,@,ARI,W,8,5,,39-46,4,18.0,Scherzer,Castro,Robertson,3:01,D,41670,.31,+++,
86,Wednesday Jul 5,boxscore,NYM,@,ARI,W,2,1,,40-46,4,18.0,Senga,Chafin,Robertson,2:37,N,18152,.32,++++,
87,Thursday Jul 6,boxscore,NYM,@,ARI,W,9,0,,41-46,4,17.5,Carrasco,Nelson,,2:37,N,18514,.38,+++++,
88,Friday Jul 7,boxscore,NYM,@,SDP,W,7,5,10,42-46,4,17.5,Smith,Cosgrove,,3:27,N,42712,.41,++++++,
89,Saturday Jul 8,boxscore,NYM,@,SDP,L,1,3,,42-47,4,18.5,Snell,Peterson,Hader,2:28,N,42647,.47,-,
90,Sunday Jul 9,boxscore,NYM,@,SDP,L,2,6,,42-48,4,18.5,Musgrove,Scherzer,,2:42,D,42745,.39,--,
91,Friday Jul 14,boxscore,NYM,,LAD,L,0,6,,42-49,4,19.5,Urías,Verlander,,2:48,N,40503,.34,---,
92,Saturday Jul 15,boxscore,NYM,,LAD,L,1,5,,42-50,4,19.5,Graterol,Ottavino,,2:51,N,38225,.28,----,
93,Sunday Jul 16,boxscore,NYM,,LAD,W-wo,2,1,10,43-50,4,18.5,Robertson,Robertson,,2:47,N,34805,.23,+,
94,Tuesday Jul 18,boxscore,NYM,,CHW,W,11,10,,44-50,4,17.5,Hartwig,Giolito,Robertson,3:28,N,37109,.24,++,
95,Wednesday Jul 19,boxscore,NYM,,CHW,W,5,1,,45-50,4,16.5,Verlander,Toussaint,,2:06,N,34873,.26,+++,
96,Thursday Jul 20,boxscore,NYM,,CHW,L,2,6,,45-51,4,17.5,Kopech,Quintana,,2:37,D,34751,.33,-,
97,Friday Jul 21,boxscore,NYM,@,BOS,W,5,4,,46-51,4,17.5,Hartwig,Crawford,Robertson,2:57,D,37035,.30,+,
98,Saturday Jul 22,boxscore,NYM,@,BOS,L,6,8,,46-52,4,17.5,Paxton,Scherzer,Jansen,2:39,N,36505,.31,-,
99,Sunday Jul 23,boxscore,NYM,@,BOS,L,1,6,,46-53,4,18.5,Murphy,Carrasco,,2:52,N,35619,.32,--,
100,Tuesday Jul 25,boxscore,NYM,@,NYY,W,9,3,,47-53,4,17.5,Verlander,Germán,,3:11,N,46540,.30,+,
101,Wednesday Jul 26,boxscore,NYM,@,NYY,L,1,3,,47-54,4,17.5,Rodón,Quintana,Holmes,2:32,N,46761,.35,-,
102,Thursday Jul 27,boxscore,NYM,,WSN,W,2,1,,48-54,4,17.0,Peterson,Thompson,Raley,2:48,N,32834,.27,+,
103,Friday Jul 28,boxscore,NYM,,WSN,W,5,1,,49-54,4,17.0,Scherzer,Gore,,2:37,N,25385,.33,++,
104,Saturday Jul 29,boxscore,NYM,,WSN,L,6,11,,49-55,4,18.0,Corbin,Carrasco,,3:04,N,30858,.38,-,
105,Sunday Jul 30,boxscore,NYM,,WSN,W,5,2,,50-55,4,18.0,Verlander,Williams,Raley,2:33,D,33861,.30,+,
106,Tuesday Aug 1,boxscore,NYM,@,KCR,L-wo,6,7,10,50-56,4,18.5,Hernández,Raley,,3:16,N,16140,.37,-,
107,Wednesday Aug 2,boxscore,NYM,@,KCR,L,0,4,,50-57,4,19.5,Ragans,Senga,,2:35,N,13630,.28,--,
108,Thursday Aug 3,boxscore,NYM,@,KCR,L,2,9,,50-58,4,20.0,Singer,Carrasco,,2:14,D,11926,.26,---,
109,Friday Aug 4,boxscore,NYM,@,BAL,L,3,10,,50-59,4,21.0,Baumann,Bickford,,3:07,N,29550,.21,----,
110,Saturday Aug 5,boxscore,NYM,@,BAL,L,3,7,,50-60,4,21.0,Gibson,Megill,,2:51,N,44326,.19,-----,
111,Sunday Aug 6,boxscore,NYM,@,BAL,L,0,2,,50-61,4,21.0,Pérez,Quintana,Bautista,2:36,D,27100,.15,------,
112,Monday Aug 7,boxscore,NYM,,CHC,W,11,2,,51-61,4,20.0,Senga,Smyly,,2:46,N,29070,.15,+,
113,Tuesday Aug 8,boxscore,NYM,,CHC,L,2,3,,51-62,4,21.0,Taillon,Smith,Alzolay,2:29,N,29640,.18,-,
114,Wednesday Aug 9,boxscore,NYM,,CHC,W,4,3,,52-62,4,21.0,Hartwig,Wesneski,Bickford,3:06,N,37527,.15,+,
115,Friday Aug 11,boxscore,NYM,,ATL,L,0,7,,52-63,4,21.5,Morton,Megill,,2:55,N,37339,.14,-,
116,Saturday Aug 12 (1),boxscore,NYM,,ATL,L,3,21,,52-64,4,23.5,Winans,Reyes,,3:12,D,39859,.10,--,
117,Saturday Aug 12 (2),boxscore,NYM,,ATL,L,0,6,,52-65,4,23.5,Strider,Quintana,,2:53,N,30254,.10,---,
118,Sunday Aug 13,boxscore,NYM,,ATL,W,7,6,,53-65,4,22.5,Senga,Chirinos,Ottavino,3:03,N,30338,.05,+,
119,Monday Aug 14,boxscore,NYM,,PIT,W,7,2,,54-65,4,22.5,Miller,Priester,,2:58,N,23151,.06,++,
120,Tuesday Aug 15,boxscore,NYM,,PIT,L,4,7,,54-66,4,23.5,Selby,Butto,Bednar,3:12,N,35439,.09,-,
121,Wednesday Aug 16,boxscore,NYM,,PIT,W,8,3,,55-66,4,23.5,Megill,Oviedo,,2:54,D,30049,.07,+,
122,Thursday Aug 17,boxscore,NYM,@,STL,W,4,2,,56-66,4,23.0,Quintana,Wainwright,Gott,2:52,N,36155,.09,++,
123,Friday Aug 18,boxscore,NYM,@,STL,W,7,1,,57-66,4,23.0,Lucchesi,Thompson,,2:43,N,42076,.12,+++,
124,Saturday Aug 19,boxscore,NYM,@,STL,W,13,2,,58-66,4,23.0,Senga,Mikolas,,2:50,N,40303,.16,++++,
125,Sunday Aug 20,boxscore,NYM,@,STL,L,3,7,,58-67,4,23.0,Hudson,Carrasco,,2:59,D,37470,.19,-,
126,Monday Aug 21,boxscore,NYM,@,ATL,W,10,4,,59-67,4,22.0,Bickford,Winans,,3:02,N,33216,.16,+,
127,Tuesday Aug 22,boxscore,NYM,@,ATL,L,2,3,,59-68,4,23.0,Elder,Megill,Iglesias,2:52,N,36841,.19,-,
128,Wednesday Aug 23,boxscore,NYM,@,ATL,L,0,7,,59-69,4,24.0,Morton,Quintana,,2:35,N,35674,.13,--,
129,Friday Aug 25,boxscore,NYM,,LAA,L,1,3,,59-70,5,25.0,Sandoval,Senga,Estévez,3:06,N,38271,.08,---,
130,Saturday Aug 26,boxscore,NYM,,LAA,L,3,5,,59-71,5,26.0,Loup,Carrasco,Estévez,2:57,N,35890,.05,----,
131,Sunday Aug 27,boxscore,NYM,,LAA,W-wo,3,2,,60-71,5,25.0,Ottavino,López,,2:30,D,38341,.04,+,
132,Monday Aug 28,boxscore,NYM,,TEX,L,3,4,,60-72,5,26.0,Pérez,Gott,Leclerc,2:42,N,21696,.03,-,
133,Tuesday Aug 29,boxscore,NYM,,TEX,L,1,2,,60-73,5,27.0,Stratton,Smith,Chapman,2:25,N,29353,.02,--,
134,Wednesday Aug 30,boxscore,NYM,,TEX,W-wo,6,5,10,61-73,5,27.0,Brigham,Chapman,,3:17,N,23849,.02,+,
135,Friday Sep 1,boxscore,NYM,,SEA,W,2,1,,62-73,4,27.5,Bickford,Muñoz,Smith,2:38,N,33340,.02,++,
136,Saturday Sep 2,boxscore,NYM,,SEA,L,7,8,,62-74,4,28.5,Topa,Ottavino,,3:10,N,31480,.03,-,
137,Sunday Sep 3,boxscore,NYM,,SEA,W,6,3,,63-74,4,27.5,Megill,Kirby,Ottavino,2:50,D,27764,.02,+,
138,Tuesday Sep 5,boxscore,NYM,@,WSN,W,11,5,,64-74,4,26.5,Quintana,Corbin,,2:34,N,22897,.02,++,
139,Wednesday Sep 6,boxscore,NYM,@,WSN,L-wo,2,3,,64-75,4,26.5,Finnegan,Bickford,,2:35,N,24297,.03,-,
140,Friday Sep 8,boxscore,NYM,@,MIN,L,2,5,,64-76,4,28.0,Thielbar,Reid-Foley,Durán,2:34,N,26154,.02,--,
141,Saturday Sep 9,boxscore,NYM,@,MIN,L,4,8,,64-77,4,28.0,Maeda,Peterson,,2:38,D,30673,.01,---,
142,Sunday Sep 10,boxscore,NYM,@,MIN,W,2,0,,65-77,4,28.0,Raley,Jax,Ottavino,2:46,D,22890,.00,+,
143,Monday Sep 11,boxscore,NYM,,ARI,L,3,4,,65-78,4,28.5,Ginkel,Smith,Sewald,2:50,N,25230,.00,-,
144,Tuesday Sep 12,boxscore,NYM,,ARI,W,7,4,,66-78,4,28.5,Butto,Nelson,Ottavino,2:53,N,33506,.00,+,
145,Wednesday Sep 13,boxscore,NYM,,ARI,W,7,1,,67-78,4,28.5,Lucchesi,Gallen,,2:45,N,22026,.01,++,
146,Thursday Sep 14,boxscore,NYM,,ARI,W,11,1,,68-78,4,28.0,Senga,Kelly,,2:38,D,22879,.00,+++,
147,Friday Sep 15,boxscore,NYM,,CIN,L,3,5,,68-79,4,28.0,Sims,Hartwig,Díaz,2:53,N,27811,.01,-,
148,Saturday Sep 16,boxscore,NYM,,CIN,L,2,3,,68-80,4,28.0,Duarte,Megill,Law,3:04,N,32633,.00,--,
149,Sunday Sep 17,boxscore,NYM,,CIN,W,8,4,,69-80,4,27.0,Quintana,Williamson,,2:53,D,38044,.00,+,
150,Monday Sep 18,boxscore,NYM,@,MIA,W,2,1,,70-80,4,26.0,Bickford,Scott,Ottavino,2:32,N,14577,.00,++,
151,Tuesday Sep 19,boxscore,NYM,@,MIA,L-wo,3,4,,70-81,4,27.0,Scott,Gott,,2:45,N,10897,.00,-,
152,Wednesday Sep 20,boxscore,NYM,@,MIA,W,8,3,,71-81,4,26.0,Senga,Pérez,,3:04,N,12045,.00,+,
153,Thursday Sep 21,boxscore,NYM,@,PHI,L,4,5,,71-82,4,27.0,Suárez,Brigham,Alvarado,2:48,N,30116,.00,-,
154,Friday Sep 22,boxscore,NYM,@,PHI,L-wo,4,5,10,71-83,4,28.0,Domínguez,Ottavino,,3:09,N,38795,.00,--,
155,Saturday Sep 23,boxscore,NYM,@,PHI,L,5,7,,71-84,4,28.5,Wheeler,Quintana,Alvarado,2:31,D,40388,.00,---,
156,Sunday Sep 24,boxscore,NYM,@,PHI,L,2,5,,71-85,4,29.0,Sánchez,Butto,Lorenzen,2:24,N,41139,.00,----,
157,Wednesday Sep 27 (1),boxscore,NYM,,MIA,W,11,2,,72-85,4,30.0,Lucchesi,Garrett,,2:49,N,,.00,+,
158,Wednesday Sep 27 (2),boxscore,NYM,,MIA,L,2,4,,72-86,4,30.0,Moore,Ottavino,Nardi,2:51,N,24966,.00,-,
159,Thursday Sep 28,boxscore,NYM,,MIA,W,1,0,8,73-86,4,30.0,Hartwig,Luzardo,,2:11,D,31097,.00,+,
160,Saturday Sep 30 (1),boxscore,NYM,,PHI,W,4,3,,74-86,4,29.0,Megill,Walker,Ottavino,2:21,N,,.00,++,
161,Saturday Sep 30 (2),boxscore,NYM,,PHI,W,11,4,,75-86,4,29.0,Garrett,Plassmeyer,,3:03,N,41102,.00,+++,
162,Sunday Oct 1,boxscore,NYM,,PHI,L,1,9,,75-87,4,29.0,Nelson,Butto,,2:31,D,41212,.00,-,
